#Source           RA       Dec      r_h     r_h+   r_h-   J0.1    J0.1+  J0.1-  J0.2    J0.2+  J0.2-  J0.5    J0.5+  J0.5-  J10     J10+   J10-
# RA and Dec in deg, r_h in arcmin, J-factor extensions in deg
AquariusII,       338.48,   -9.33,   5.1,   0.8,   0.8,   18.12,  0.62,  0.56,  18.26,  0.63,  0.57,  18.39,  0.65,  0.58,  18.48,  0.72,  0.62
BootesI,          210.05,   14.49,  12.6,   1.0,   0.9,   17.79,  0.30,  0.28,  17.99,  0.29,  0.27,  18.19,  0.30,  0.28,  18.39,  0.45,  0.38
CanesVenaticiI,   202.04,   33.57,   8.9,   0.3,   0.2,   17.19,  0.18,  0.17,  17.33,  0.15,  0.14,  17.43,  0.16,  0.15,  17.49,  0.24,  0.17
CanesVenaticiII,  194.29,   34.32,   1.6,   0.6,   0.6,   17.53,  0.42,  0.41,  17.68,  0.44,  0.43,  17.82,  0.48,  0.47,  17.92,  0.55,  0.53
CarinaI,          100.43,  -50.95,  19.9,   ----,  ----,  17.57,  0.17,  0.14,  17.72,  0.13,  0.11,  17.83,  0.09,  0.09,  17.88,  0.11,  0.10
CarinaII,         114.11,  -58.00,   8.69,  0.75,  0.75,  18.02,  0.53,  0.51,  18.19,  0.52,  0.50,  18.37,  0.54,  0.52,  18.57,  0.66,  0.59
ComaBerenices,    186.74,   23.90,   6.0,   0.6,   0.6,   18.61,  0.31,  0.32,  18.81,  0.32,  0.32,  19.01,  0.36,  0.36,  19.25,  0.57,  0.50
CraterII,         117.31,  -18.41,  31.2,   2.5,   2.5,   14.91,  0.33,  0.29,  15.13,  0.30,  0.28,  15.35,  0.27,  0.25,  15.56,  0.25,  0.23
Draco,            260.06,   57.07,  10.0,   0.3,   0.2,   18.43,  0.16,  0.14,  18.63,  0.13,  0.13,  18.82,  0.12,  0.12,  18.96,  0.20,  0.16
Fornax,            39.94,  -34.44,  13.75,  ----,  ----,  17.91,  0.12,  0.13,  18.02,  0.11,  0.11,  18.09,  0.10,  0.10,  18.11,  0.10,  0.09
Hercules,         247.72,   12.75,   8.6,   1.8,   1.1,   17.09,  0.49,  0.52,  17.20,  0.49,  0.51,  17.29,  0.51,  0.52,  17.35,  0.58,  0.54
Horologium,        43.87,  -54.11,   1.11,  0.16,  0.14,  18.92,  0.75,  0.62,  19.05,  0.75,  0.65,  19.17,  0.80,  0.70,  19.28,  0.87,  0.80
Hydrus,            37.89,  -79.31,   7.42,  0.62,  0.54,  18.21,  0.31,  0.29,  18.42,  0.30,  0.28,  18.65,  0.32,  0.31,  18.93,  0.57,  0.47
LeoI,             152.11,   12.29,  15.73,  ----,  ----,  17.38,  0.13,  0.11,  17.52,  0.10,  0.10,  17.61,  0.13,  0.11,  17.64,  0.19,  0.12
LeoII,            168.34,   22.13,   3.07,  ----,  ----,  17.63,  0.16,  0.16,  17.65,  0.15,  0.15,  17.66,  0.16,  0.15,  17.66,  0.16,  0.15
LeoIV,            173.32,   -0.53,   4.6,   0.8,   0.7,   -----,  ----,  ----,  -----,  ----,  ----,  16.12,  0.71,  1.14,  -----,  ----,  ----
LeoV,             172.78,    2.18,   2.6,   0.6,   0.6,   -----,  ----,  ----,  -----,  ----,  ----,  15.86,  0.46,  0.47,  -----,  ----,  ----
PiscesII,         344.62,    5.95,   1.1,   0.1,   0.1,   -----,  ----,  ----,  -----,  ----,  ----,  17.90,  1.14,  0.80,  -----,  ----,  ----
ReticulumII,       53.93,  -54.05,   3.64,  0.21,  0.12,  18.54,  0.34,  0.32,  18.73,  0.34,  0.32,  18.94,  0.38,  0.38,  19.16,  0.64,  0.53
SagittariusII,    298.17,  -22.07,   2.0,   0.4,   0.3,   17.07,  1.60,  1.09,  17.22,  1.47,  1.02,  17.35,  1.36,  0.91,  17.48,  1.23,  0.79
Sculptor,          15.03,  -33.67,   7.63,  ----,  ----,  18.33,  0.11,  0.10,  18.47,  0.08,  0.07,  18.58,  0.05,  0.05,  18.63,  0.05,  0.05
Segue1,           151.75,   16.06,   4.4,   1.2,   0.6,   18.73,  0.53,  0.68,  18.87,  0.48,  0.67,  19.00,  0.48,  0.68,  19.12,  0.63,  0.68
Segue2,            34.81,   20.22,   3.4,   0.2,   0.2,   -----,  ----,  ----,  -----,  ----,  ----,  15.89,  0.56,  0.37,  -----,  ----,  ----
Sextans,          153.28,   -1.59,  26.1,   ----,  ----,  17.40,  0.22,  0.22,  17.58,  0.18,  0.17,  17.75,  0.12,  0.11,  17.87,  0.12,  0.10
TucanaII,         343.00,  -58.65,   7.2,   0.8,   0.8,   18.56,  0.57,  0.53,  18.74,  0.55,  0.51,  18.93,  0.56,  0.50,  19.13,  0.65,  0.56
UrsaMajorI,       158.72,   51.94,  11.3,   1.7,   1.3,   18.07,  0.31,  0.29,  18.21,  0.28,  0.28,  18.33,  0.28,  0.28,  18.40,  0.37,  0.32
UrsaMajorII,      132.77,   63.11,  16.0,   1.0,   1.0,   19.00,  0.45,  0.44,  19.21,  0.42,  0.39,  19.44,  0.41,  0.39,  19.72,  0.54,  0.49
UrsaMinor,        227.24,   67.24,  16.12,  ----,  ----,  18.56,  0.17,  0.21,  18.68,  0.14,  0.16,  18.76,  0.12,  0.11,  18.80,  0.11,  0.11
Willman1,         162.35,   51.03,   2.3,   0.2,   0.4,   19.11,  0.44,  0.45,  19.24,  0.45,  0.43,  19.36,  0.52,  0.46,  19.46,  0.73,  0.52
